ID,Name,Email,Phone,Marks
1,Student1,student1@example.com,7264209836,78
2,Student2,student2@example.com,3076312977,72
3,Student3,student3@example.com,5783271084,72
4,Student4,student4@example.com,3533737076,96
5,Student5,student5@example.com,4693424642,46
6,Student6,student6@example.com,0565368217,58
7,Student7,student7@example.com,8565318319,62
8,Student8,student8@example.com,1967113377,66
9,Student9,student9@example.com,4227591656,99
10,Student10,student10@example.com,1704550733,75
11,Student11,student11@example.com,2629398605,49
12,Student12,student12@example.com,9457451920,68
13,Student13,student13@example.com,4402896783,58
14,Student14,student14@example.com,7815869760,50
15,Student15,student15@example.com,1471794049,38
16,Student16,student16@example.com,0146334706,91
17,Student17,student17@example.com,8393507117,72
18,Student18,student18@example.com,7452613920,100
19,Student19,student19@example.com,9228795176,35
20,Student20,student20@example.com,0043642114,98
21,Student21,student21@example.com,7229837262,66
22,Student22,student22@example.com,3071790418,92
23,Student23,student23@example.com,0799799653,88
24,Student24,student24@example.com,7087086285,59
25,Student25,student25@example.com,8334562720,95
26,Student26,student26@example.com,8005737584,41
27,Student27,student27@example.com,7586900038,53
28,Student28,student28@example.com,8099176797,63
29,Student29,student29@example.com,4498715431,37
30,Student30,student30@example.com,0147910745,62
31,Student31,student31@example.com,5454743910,36
32,Student32,student32@example.com,6367598759,51
33,Student33,student33@example.com,4878018835,74
34,Student34,student34@example.com,9105148935,89
35,Student35,student35@example.com,7005254430,67
36,Student36,student36@example.com,6992425378,64
37,Student37,student37@example.com,7243269467,37
38,Student38,student38@example.com,3817429749,67
39,Student39,student39@example.com,3342051943,60
40,Student40,student40@example.com,1128782847,59
41,Student41,student41@example.com,4531142253,35
42,Student42,student42@example.com,2931932476,97
43,Student43,student43@example.com,8458472800,47
44,Student44,student44@example.com,0144487061,60
45,Student45,student45@example.com,7723880719,82
46,Student46,student46@example.com,1832754297,91
47,Student47,student47@example.com,4375007505,39
48,Student48,student48@example.com,1413570735,36
49,Student49,student49@example.com,4916912361,80
50,Student50,student50@example.com,0099250752,87
51,Student51,student51@example.com,9905935402,82
52,Student52,student52@example.com,9893880689,62
53,Student53,student53@example.com,4745697343,75
54,Student54,student54@example.com,7911060007,76
55,Student55,student55@example.com,0988036653,73
56,Student56,student56@example.com,7769851550,46
57,Student57,student57@example.com,5839632324,37
58,Student58,student58@example.com,9157316676,66
59,Student59,student59@example.com,6438834641,75
60,Student60,student60@example.com,0308510136,71
61,Student61,student61@example.com,1234338044,62
62,Student62,student62@example.com,2710831523,56
63,Student63,student63@example.com,3094635138,64
64,Student64,student64@example.com,8182237488,47
65,Student65,student65@example.com,2414534588,36
66,Student66,student66@example.com,0613029794,88
67,Student67,student67@example.com,3151531988,75
68,Student68,student68@example.com,7938543415,77
69,Student69,student69@example.com,4275978160,62
70,Student70,student70@example.com,1991256295,66
71,Student71,student71@example.com,3570640194,96
72,Student72,student72@example.com,9712762084,95
73,Student73,student73@example.com,0218696474,61
74,Student74,student74@example.com,1566405332,82
75,Student75,student75@example.com,5283368456,74
76,Student76,student76@example.com,4472563205,78
77,Student77,student77@example.com,8484206511,96
78,Student78,student78@example.com,6212326901,85
79,Student79,student79@example.com,5174883433,42
80,Student80,student80@example.com,6480429675,43
81,Student81,student81@example.com,0196465160,70
82,Student82,student82@example.com,9524093080,41
83,Student83,student83@example.com,4652363274,73
84,Student84,student84@example.com,2765885849,73
85,Student85,student85@example.com,6289314432,61
86,Student86,student86@example.com,8287854400,66
87,Student87,student87@example.com,4960594156,67
88,Student88,student88@example.com,4616232439,85
89,Student89,student89@example.com,0623976173,84
90,Student90,student90@example.com,3083861199,81
91,Student91,student91@example.com,1171630232,100
92,Student92,student92@example.com,0189628556,37
93,Student93,student93@example.com,2811829214,40
94,Student94,student94@example.com,5908340639,73
95,Student95,student95@example.com,6404784261,84
96,Student96,student96@example.com,1800078150,42
97,Student97,student97@example.com,8665881171,78
98,Student98,student98@example.com,6326207853,76
99,Student99,student99@example.com,0113125813,96
100,Student100,student100@example.com,2966090785,60
101,Student101,student101@example.com,8264070895,72
102,Student102,student102@example.com,1315425706,41
103,Student103,student103@example.com,5285247912,75
104,Student104,student104@example.com,4553383899,65
105,Student105,student105@example.com,0463296942,80
106,Student106,student106@example.com,9462510111,47
107,Student107,student107@example.com,8518811805,52
108,Student108,student108@example.com,3100798404,64
109,Student109,student109@example.com,0812723048,95
110,Student110,student110@example.com,2880648743,41
111,Student111,student111@example.com,9963764964,54
112,Student112,student112@example.com,8394993562,100
113,Student113,student113@example.com,9048726353,94
114,Student114,student114@example.com,5747360790,44
115,Student115,student115@example.com,2819882136,51
116,Student116,student116@example.com,2180977234,73
117,Student117,student117@example.com,7705516556,58
118,Student118,student118@example.com,2488463536,92
119,Student119,student119@example.com,9868138844,58
120,Student120,student120@example.com,0137846099,60
121,Student121,student121@example.com,7029753605,93
122,Student122,student122@example.com,2554047579,100
123,Student123,student123@example.com,7791830783,42
124,Student124,student124@example.com,2642313188,76
125,Student125,student125@example.com,3069054805,69
126,Student126,student126@example.com,6590417019,64
127,Student127,student127@example.com,6717345738,62
128,Student128,student128@example.com,7954372044,57
129,Student129,student129@example.com,3552410047,98
130,Student130,student130@example.com,1648842416,76
131,Student131,student131@example.com,3001607543,39
132,Student132,student132@example.com,8832466785,47
133,Student133,student133@example.com,9678048510,77
134,Student134,student134@example.com,5030840092,45
135,Student135,student135@example.com,1527272537,84
136,Student136,student136@example.com,6223503630,74
137,Student137,student137@example.com,1179037939,39
138,Student138,student138@example.com,2512357926,93
139,Student139,student139@example.com,7316238497,61
140,Student140,student140@example.com,3817345192,56
141,Student141,student141@example.com,3078479182,62
142,Student142,student142@example.com,3939030595,55
143,Student143,student143@example.com,6363279181,96
144,Student144,student144@example.com,1867374120,74
145,Student145,student145@example.com,7810611705,75
146,Student146,student146@example.com,0409064553,87
147,Student147,student147@example.com,2492773275,67
148,Student148,student148@example.com,7021635648,57
149,Student149,student149@example.com,7235934205,89
150,Student150,student150@example.com,7977483721,39
151,Student151,student151@example.com,2636576815,99
152,Student152,student152@example.com,2998504322,64
153,Student153,student153@example.com,9678121871,92
154,Student154,student154@example.com,1103959715,37
155,Student155,student155@example.com,8228439088,92
156,Student156,student156@example.com,8926257191,39
157,Student157,student157@example.com,8594234099,45
158,Student158,student158@example.com,4624872294,86
159,Student159,student159@example.com,4179907675,74
160,Student160,student160@example.com,8397228858,57
161,Student161,student161@example.com,5034204691,44
162,Student162,student162@example.com,9925062486,94
163,Student163,student163@example.com,7837866627,91
164,Student164,student164@example.com,9435740382,36
165,Student165,student165@example.com,9300632077,39
166,Student166,student166@example.com,1723748927,80
167,Student167,student167@example.com,1088384041,65
168,Student168,student168@example.com,8015201142,58
169,Student169,student169@example.com,7726916338,57
170,Student170,student170@example.com,8985280331,77
171,Student171,student171@example.com,3388998260,84
172,Student172,student172@example.com,9917128941,76
173,Student173,student173@example.com,4746987686,82
174,Student174,student174@example.com,9462330332,48
175,Student175,student175@example.com,3487500815,96
176,Student176,student176@example.com,9412315400,71
